alias,checkpoint,write_objective,step,direction,component,mean,reconstruction_token_accuracy,token_count,gradient_norm_mean,example_count,token_accuracy,exact_match
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,1,F,reconstruction_value,9.272070912344997,0.05823863636363636,2112,139.82969544150612,132,0.5340909090909091,0.10606060606060606
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,2,B,energy_key,883.83004947156,0.009576612903225807,1984,56.31439418177451,124,0.5685483870967742,0.16129032258064516
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,2,B,energy_value,1792.4755721288732,0.041834677419354836,1984,56.31439418177451,124,0.5685483870967742,0.16129032258064516
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,2,B,reconstruction_key,8.933099409056481,0.009576612903225807,1984,56.31439418177451,124,0.5685483870967742,0.16129032258064516
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,2,B,reconstruction_value,23.08725197634844,0.041834677419354836,1984,56.31439418177451,124,0.5685483870967742,0.16129032258064516
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,2,F,energy_key,953.1006214278025,0.004734848484848485,2112,55.60453562303023,132,0.5340909090909091,0.10606060606060606
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,2,F,energy_value,1952.184840578226,0.07149621212121213,2112,55.60453562303023,132,0.5340909090909091,0.10606060606060606
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,2,F,reconstruction_key,24.146923286127716,0.004734848484848485,2112,55.60453562303023,132,0.5340909090909091,0.10606060606060606
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,2,F,reconstruction_value,6.560733173897043,0.07149621212121213,2112,55.60453562303023,132,0.5340909090909091,0.10606060606060606
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,reconstruction,0,B,reconstruction_key,4.650315545619495,0.0,1984,2.191958685075083,124,0.5766129032258065,0.1532258064516129
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,reconstruction,0,B,reconstruction_value,4.226253294175671,0.011088709677419355,1984,2.191958685075083,124,0.5766129032258065,0.1532258064516129
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,reconstruction,0,F,reconstruction_key,4.343778490117102,0.0,2112,2.615677033409928,132,1.0,1.0
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,reconstruction,0,F,reconstruction_value,4.472281357104128,0.0,2112,2.615677033409928,132,1.0,1.0
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,reconstruction,1,B,reconstruction_key,4.632917089928543,0.0,1984,0.45319863312667413,124,0.5766129032258065,0.1532258064516129
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,reconstruction,1,B,reconstruction_value,1.6064460077961427,0.5645161290322581,1984,0.45319863312667413,124,0.5766129032258065,0.1532258064516129
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,reconstruction,1,F,reconstruction_key,4.352864309693828,0.0,2112,0.7762634550983255,132,1.0,1.0
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,reconstruction,1,F,reconstruction_value,1.1136724124415636,0.7514204545454546,2112,0.7762634550983255,132,1.0,1.0
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,reconstruction,2,B,reconstruction_key,4.621530624166612,0.0,1984,0.31213966444615393,124,0.5766129032258065,0.1532258064516129
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,reconstruction,2,B,reconstruction_value,1.427463250876885,0.5680443548387096,1984,0.31213966444615393,124,0.5766129032258065,0.1532258064516129
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,reconstruction,2,F,reconstruction_key,4.338365743896275,0.0,2112,0.4346529080560713,132,1.0,1.0
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,reconstruction,2,F,reconstruction_value,0.6443792803205944,0.9839015151515151,2112,0.4346529080560713,132,1.0,1.0
